,Team,Op Team,score,Opscore,RaidPoints,OpRaid,TacklePoints,OpTackle,Allout,OpAllOut,ExtraPoints,OpExtra,win,season
483,TELUGU TITANS,U.P. YODDHA,20,27,11,13,9,11,0,2,0,1,1,6
484,HARYANA STEELERS,GUJARAT FORTUNEGIANTS,37,47,26,30,8,12,2,4,1,1,1,6
485,TELUGU TITANS,BENGALURU BULLS,24,37,16,18,8,13,0,4,0,2,1,6
486,TELUGU TITANS,PATNA PIRATES,41,36,22,24,14,10,4,2,1,0,0,6
487,JAIPUR PINK PANTHERS,PUNERI PALTAN,36,23,14,14,17,9,4,0,1,0,0,6
488,BENGAL WARRIORS,TAMIL THALAIVAS,28,21,16,11,10,10,2,0,0,0,0,6
489,U.P. YODDHA,TAMIL THALAIVAS,25,25,16,13,6,8,0,0,3,4,draw,6
490,JAIPUR PINK PANTHERS,U MUMBA,35,35,18,22,10,10,4,2,3,1,draw,6
491,PATNA PIRATES,U.P. YODDHA,31,47,21,26,9,13,0,6,1,2,1,6
492,JAIPUR PINK PANTHERS,GUJARAT FORTUNEGIANTS,29,34,16,18,9,13,2,2,2,1,1,6
493,BENGALURU BULLS,TELUGU TITANS,44,28,22,16,12,9,6,2,4,1,0,6
494,JAIPUR PINK PANTHERS,HARYANA STEELERS,39,30,23,19,11,9,4,2,1,0,0,6
495,PATNA PIRATES,BENGALURU BULLS,40,40,26,26,7,11,4,2,3,1,draw,6
496,JAIPUR PINK PANTHERS,GUJARAT FORTUNEGIANTS,31,33,18,21,8,8,2,4,3,0,1,6
497,JAIPUR PINK PANTHERS,DABANG DELHI K.C.,37,37,25,26,8,9,2,2,2,0,draw,6
498,PUNERI PALTAN,TELUGU TITANS,35,20,14,15,16,5,4,0,1,0,0,6
499,U MUMBA,U.P. YODDHA,32,34,17,19,12,13,2,2,1,0,1,6
500,BENGAL WARRIORS,PATNA PIRATES,39,23,19,17,15,6,4,0,1,0,0,6
501,BENGAL WARRIORS,DABANG DELHI K.C.,31,37,18,23,9,6,2,4,2,4,1,6
502,BENGAL WARRIORS,TAMIL THALAIVAS,27,24,17,18,10,6,0,0,0,0,0,6
503,HARYANA STEELERS,TAMIL THALAIVAS,40,40,30,26,8,8,2,4,0,2,draw,6
504,BENGAL WARRIORS,TELUGU TITANS,39,34,27,22,7,10,2,2,3,0,0,6
505,GUJARAT FORTUNEGIANTS,PATNA PIRATES,37,29,18,18,14,6,2,0,3,5,0,6
506,BENGAL WARRIORS,BENGALURU BULLS,37,31,24,19,7,6,4,2,2,4,0,6
507,JAIPUR PINK PANTHERS,BENGALURU BULLS,32,40,23,25,9,10,0,4,0,1,1,6
508,BENGAL WARRIORS,U.P. YODDHA,25,41,16,19,7,14,0,6,2,2,1,6
509,U MUMBA,U.P. YODDHA,29,34,18,12,11,18,0,2,0,2,1,6
510,DABANG DELHI K.C.,BENGAL WARRIORS,39,28,22,18,11,6,4,2,2,2,0,6
511,GUJARAT FORTUNEGIANTS,BENGALURU BULLS,29,41,21,22,6,13,2,4,0,2,1,6
512,U.P. YODDHA,DABANG DELHI K.C.,45,33,26,22,10,4,6,2,3,5,0,6
513,GUJARAT FORTUNEGIANTS,U.P. YODDHA,38,31,22,17,10,10,4,2,2,2,0,6
514,BENGALURU BULLS,GUJARAT FORTUNEGIANTS,38,33,26,20,7,8,4,2,1,3,0,7
515,TELUGU TITANS,U MUMBA,25,31,15,16,10,10,0,4,0,1,1,7
516,BENGALURU BULLS,PATNA PIRATES,34,32,17,18,15,12,2,2,0,0,0,7
517,BENGALURU BULLS,GUJARAT FORTUNEGIANTS,24,42,17,17,5,17,0,6,2,2,1,7
518,TELUGU TITANS,TAMIL THALAIVAS,26,39,15,20,8,15,0,4,3,0,1,7
519,U MUMBA,JAIPUR PINK PANTHERS,23,42,18,25,5,11,0,6,0,0,1,7
520,PUNERI PALTAN,HARYANA STEELERS,24,34,14,15,10,14,0,4,0,1,1,7
521,U.P. YODDHA,BENGAL WARRIORS,17,48,10,24,5,14,0,8,2,2,1,7
522,TELUGU TITANS,DABANG DELHI K.C.,33,34,27,23,6,7,0,2,0,2,1,7
523,DABANG DELHI K.C.,TAMIL THALAIVAS,30,29,13,12,9,11,2,2,6,4,0,7
524,U.P. YODDHA,GUJARAT FORTUNEGIANTS,19,44,12,23,5,14,0,6,2,1,1,7
525,TELUGU TITANS,PATNA PIRATES,22,34,10,12,8,16,0,4,4,2,1,7
526,U MUMBA,PUNERI PALTAN,33,23,15,12,12,11,4,0,2,0,0,7
527,JAIPUR PINK PANTHERS,BENGAL WARRIORS,27,25,12,13,10,11,2,0,3,1,0,7
528,DABANG DELHI K.C.,HARYANA STEELERS,41,21,22,16,9,4,4,0,6,1,0,7
529,U MUMBA,BENGALURU BULLS,26,30,15,15,4,8,2,2,5,5,1,7
530,TAMIL THALAIVAS,PATNA PIRATES,23,24,9,7,10,13,0,0,4,4,1,7
531,BENGAL WARRIORS,PUNERI PALTAN,43,23,22,13,12,9,6,0,3,1,0,7
532,HARYANA STEELERS,JAIPUR PINK PANTHERS,21,37,12,17,9,14,0,4,0,2,1,7
533,U MUMBA,U.P. YODDHA,23,27,10,10,11,13,0,2,2,2,1,7
534,GUJARAT FORTUNEGIANTS,DABANG DELHI K.C.,31,26,17,13,10,9,2,2,2,2,0,7
535,TELUGU TITANS,U.P. YODDHA,20,20,9,5,10,13,0,0,1,2,draw,7
536,U MUMBA,GUJARAT FORTUNEGIANTS,32,20,15,10,12,8,4,0,1,2,0,7
537,PATNA PIRATES,JAIPUR PINK PANTHERS,21,34,12,12,7,17,0,4,2,1,1,7
538,BENGAL WARRIORS,BENGALURU BULLS,42,43,29,31,6,8,4,4,3,0,1,7
539,HARYANA STEELERS,TAMIL THALAIVAS,28,35,16,20,10,10,2,4,0,1,1,7
540,PATNA PIRATES,PUNERI PALTAN,20,41,11,19,7,17,2,4,0,1,1,7
541,DABANG DELHI K.C.,JAIPUR PINK PANTHERS,35,24,21,19,8,3,4,0,2,2,0,7
542,GUJARAT FORTUNEGIANTS,PUNERI PALTAN,31,33,21,15,8,13,2,2,0,3,1,7
543,U.P. YODDHA,TAMIL THALAIVAS,28,28,13,13,12,10,2,2,1,3,draw,7
544,PATNA PIRATES,HARYANA STEELERS,26,35,18,18,6,12,2,4,0,1,1,7
545,TELUGU TITANS,BENGALURU BULLS,26,47,16,21,10,19,0,4,0,3,1,7
546,BENGAL WARRIORS,U MUMBA,32,30,17,13,10,10,4,4,1,3,0,7
547,PATNA PIRATES,U.P. YODDHA,41,20,17,14,16,4,6,0,2,2,0,7
548,GUJARAT FORTUNEGIANTS,TAMIL THALAIVAS,28,34,14,15,9,13,2,4,3,2,1,7
549,PUNERI PALTAN,DABANG DELHI K.C.,30,32,22,19,7,9,0,2,1,2,1,7
550,BENGALURU BULLS,HARYANA STEELERS,30,33,17,18,9,12,2,2,2,1,1,7
551,GUJARAT FORTUNEGIANTS,TELUGU TITANS,24,30,15,11,8,16,0,2,1,1,1,7
552,BENGAL WARRIORS,TELUGU TITANS,29,29,13,13,11,10,2,2,3,4,draw,7
553,U.P. YODDHA,BENGALURU BULLS,35,33,16,22,15,10,4,0,0,1,0,7
554,U.P. YODDHA,HARYANA STEELERS,33,36,21,20,10,12,2,4,0,0,1,7
555,GUJARAT FORTUNEGIANTS,BENGAL WARRIORS,26,28,15,16,11,7,0,2,0,3,1,7
556,JAIPUR PINK PANTHERS,PUNERI PALTAN,33,25,16,16,13,8,4,0,0,1,0,7
557,U MUMBA,PATNA PIRATES,34,30,24,17,6,8,2,2,2,3,0,7
558,GUJARAT FORTUNEGIANTS,JAIPUR PINK PANTHERS,19,22,8,9,9,13,0,0,2,0,1,7
559,TAMIL THALAIVAS,BENGALURU BULLS,21,32,15,15,6,10,0,4,0,3,1,7
560,BENGAL WARRIORS,DABANG DELHI K.C.,30,30,19,18,7,7,2,2,2,3,draw,7
561,HARYANA STEELERS,TELUGU TITANS,29,40,22,24,3,10,0,4,4,2,1,7
562,TAMIL THALAIVAS,PUNERI PALTAN,31,31,18,16,10,12,2,2,1,1,draw,7
563,U MUMBA,HARYANA STEELERS,27,30,14,16,10,9,2,2,1,3,1,7
564,U.P. YODDHA,JAIPUR PINK PANTHERS,31,24,18,14,11,9,2,0,0,1,0,7
565,PUNERI PALTAN,BENGALURU BULLS,31,23,13,16,16,6,2,0,0,1,0,7
566,TAMIL THALAIVAS,JAIPUR PINK PANTHERS,26,28,16,14,6,11,2,0,2,3,1,7
567,BENGAL WARRIORS,PATNA PIRATES,35,26,20,18,11,6,4,2,0,0,0,7
568,GUJARAT FORTUNEGIANTS,PATNA PIRATES,29,26,16,14,11,9,2,2,0,1,0,7
569,TAMIL THALAIVAS,U MUMBA,24,29,14,14,6,11,0,2,4,2,1,7
570,DABANG DELHI K.C.,BENGALURU BULLS,33,31,21,19,10,10,2,2,0,0,0,7
571,JAIPUR PINK PANTHERS,TELUGU TITANS,21,24,6,9,14,15,0,0,1,0,1,7
572,JAIPUR PINK PANTHERS,BENGALURU BULLS,30,41,13,21,12,16,2,4,3,0,1,7
